nearest_G4	.y.	group1	group2	p	p.adj	p.format	p.signif	method
<1kb	deseq.lfc.pds	Pro	noPro	1.3353429428130245e-18	8e-18	< 2e-16	****	Wilcoxon
<2.5kb	deseq.lfc.pds	Pro	noPro	1.4898265656446206e-4	6e-4	0.00015	***	Wilcoxon
<5kb	deseq.lfc.pds	Pro	noPro	0.9700891455516155	1	0.97009	ns	Wilcoxon
<10kb	deseq.lfc.pds	Pro	noPro	0.6532162816820697	1	0.65322	ns	Wilcoxon
0kb	deseq.lfc.pds	Pro	noPro	6.664278162600988e-16	3.3e-15	6.7e-16	****	Wilcoxon
>10kb	deseq.lfc.pds	Pro	noPro	0.3680021798221318	1	0.36800	ns	Wilcoxon
